Severity	Alarm Raised	Asset ID	Asset Name	Alarm Description	Acknowledged	By	Cleared	Comments	Location
CAME UNACK High	2024.02.29 07:55:09.935	TSC-E-PED-001	Town Hall Platform 2 PED 01	Platform End Door opened!				0	THL
CAME UNACK High	2024.02.29 07:54:15.937	TSC-W-PED-002	Town Hall Platform 1 PED 02	Platform End Door opened!				0	THL
CAME UNACK High	2024.02.29 07:41:42.573	_Event_2	MTTHL:_Event_2.	License expires				0	AZC
CAME UNACK High	2024.02.29 07:33:19.934	TSC-E-PED-001	Town Hall Platform 2 PED 01	Platform End Door Unscheduled Door Opening!				0	THL
CAME UNACK High	2024.02.28 15:35:06.659	SYP-ZONE-0004	Westbound Detection Zone 2	TIAS activated! 				0	SDU
CAME UNACK High	2024.02.28 15:35:06.659	SYP-ZONE-0003	Westbound Detection Zone 1	TIAS activated! 				0	SDU
CAME UNACK High	2024.02.28 15:33:31.508	AEN_OFN_0201_02_DS	Over Track Exhaust Fan - East End - Duty Selection	Arden - East End Over Track Ventilation Unavailable!				0	SDU
CAME UNACK High	2024.02.28 15:33:23.502	AEN_OFN_0101_02_DS	Over Track Exhaust Fan - West End - Duty Selection	Arden - West End Over Track Ventilation Unavailable!				0	SDU
CAME UNACK High	2024.02.28 13:54:33.259	SKP-ZONE-0003	Westbound Detection Zone 1	TIAS activated! 				0	SDU
CAME UNACK High	2024.02.28 13:54:33.259	SKP-ZONE-0002	Eastbound Detection Zone 2	TIAS activated! 				0	SDU
CAME UNACK High	2024.02.28 13:54:33.259	SKP-ZONE-0001	Eastbound Detection Zone 1	TIAS activated! 				0	SDU
CAME UNACK High	2024.02.28 13:19:38.262	SKP-ZONE-0004	Westbound Detection Zone 2	TIAS activated! 				0	SDU
CAME UNACK High	2024.02.28 01:20:45.220	PKV-E-PSD-018	Parkville Platform 2 Zone 2 PSD 18	PSD Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.02.27 18:33:23.921	AEN-W-EED-007	Arden Platform 1 Zone 1 EED 07	EED Unscheduled Door Opening!				0	ARN
CAME UNACK High	2024.02.27 17:50:31.925	TNC-E-EED-031	State Library Platform 2 Zone 3 EED 31	EED Unscheduled Door Opening!				0	STL
CAME UNACK High	2024.02.27 17:50:09.929	TNC-E-EED-032	State Library Platform 2 Zone 3 EED 32	EED Unscheduled Door Opening!				0	STL
CAME UNACK High	2024.02.27 17:44:55.924	TNC-E-EED-040	State Library Platform 2 Zone 3 EED 40	EED Unscheduled Door Opening!				0	STL
CAME UNACK High	2024.02.27 13:42:16.571	DMA_SSX_0001	TVCS Shaft Smoke Detection System 01	Smoke detected in shaft!				0	SDU
CAME UNACK High	2024.02.27 13:42:16.571	DMA_SSX_0002	TVCS Shaft Smoke Detection System 02	Smoke detected in shaft!				0	SDU
CAME UNACK High	2024.02.27 12:24:09.000	PKV-E-EED-010	Parkville Platform 2 Zone 1 EED 10	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.02.27 12:06:50.997	PKV-E-EED-022	Parkville Platform 2 Zone 3 EED 22	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.02.27 11:49:54.995	PKV-E-EED-033	Parkville Platform 2 Zone 3 EED 33	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.02.27 11:48:27.000	PKV-E-PSD-023	Parkville Platform 2 Zone 3 PSD 23	PSD Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.02.27 11:47:24.995	PKV-E-EED-032	Parkville Platform 2 Zone 3 EED 32	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.02.27 11:40:11.004	PKV-E-EED-034	Parkville Platform 2 Zone 3 EED 34	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.02.27 11:28:19.007	PKV-E-EED-040	Parkville Platform 2 Zone 3 EED 40	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.02.27 08:38:52.998	PKV-W-EED-026	Parkville Platform 1 Zone 3 EED 26	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.02.27 08:23:52.992	PKV-W-EED-012	Parkville Platform 1 Zone 1 EED 12	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.02.27 08:18:19.001	PKV-W-EED-010	Parkville Platform 1 Zone 1 EED 10	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.02.26 16:01:49.442	AEN_TFN_0101_03_DS	Tunnel Ventilation Fan - West End - Duty Selection	Tunnel Section 01 - Ventilation Unavailable!				0	SDU
CAME UNACK High	2024.02.26 09:46:23.268	PKV_TEP_0301_02_DS	Tunnel Drainage Pump - Duty Selection	Risk of track flooding!				0	PKV
CAME UNACK High	2024.02.26 09:42:59.119	PKV-W-PED-002	Parkville Platform 1 PED 02	Platform End Door Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.02.26 09:42:59.001	PKV-E-PED-002	Parkville Platform 2 PED 02	Platform End Door Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.02.26 09:42:02.026	DMA_TEP_0303_04_DS	Tunnel Drainage Pump - Duty Selection	Risk of track flooding!				0	AZC
CAME UNACK High	2024.02.26 09:42:01.639	DMA_TEP_0301_02_DS	Tunnel Drainage Pump - Duty Selection	Risk of track flooding!				0	AZC
CAME UNACK High	2024.02.26 09:40:32.339	TSC-W-PED-002	Town Hall Platform 1 PED 02	Platform End Door Unscheduled Door Opening!				0	THL
CAME UNACK High	2024.02.26 09:40:32.306	TSC-E-PED-002	Town Hall Platform 2 PED 02	Platform End Door Unscheduled Door Opening!				0	THL
CAME UNACK High	2024.02.26 09:39:58.209	PKV-W-EED-007	Parkville Platform 1 Zone 1 EED 07	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.02.26 09:39:54.312	DMA-W-PED-002	Anzac Platform 1 PED 02	Platform End Door Unscheduled Door Opening!				0	AZC
